page_title,page_views,back_links_count,page_size (bytes)
"""Aristovo, Ust-Kubinsky District, Vologda Oblast""",3,78,2230
"""Değirmencik, Nusaybin""",1,77,2843
"""Fritz Grösche""",2,77,3123
"""2014 Fujieda MYFC season""",2,77,11189
"""Alga District""",2,77,3969
"""Superstition (Shirley Scott album)""",1,77,2455
"""Norton Junction railway station""",5,76,2802
"""Docking@Home""",9,76,2721
"""Boot Party""",11,76,2892
"""Rudolf Elsener""",7,76,3247
"""Rugby Club Partizan""",2,76,4582
"""Tenkawa, Nara""",6,75,3924
"""Pablo Galdames (footballer, born 1974)""",9,75,7038
"""Shallow Be Thy Game""",18,75,2671
"""State hospital""",28,75,1258
"""Dheerga Sumangali""",33,75,11687
"""University of South Carolina Libraries""",7,75,8193
"""Sunchales""",1,75,6077
"""List of Columbus Crew seasons""",32,74,13921
"""Come Home with Me""",181,73,16050
"""Hypochondrium""",160,73,5096
"""SM U-81""",3,73,12611
"""Ananya Bhat""",132,73,8909
"""Treis Gefyres""",6,73,2285
"""9th Japan Record Awards""",2,72,2410
"""1902 North-West Territories general election""",12,72,13903
"""Ankatafa""",1,72,5161
"""2008 World Ladies Snooker Championship""",7,71,5853
"""False Witness""",43,71,6800
"""Régiment de Maisonneuve""",2,71,12893
"""Siegfried Lorenz (baritone)""",7,71,8601
"""The Profane Exhibit""",31,70,12814
"""2018 Wagga Wagga state by-election""",9,70,12190
"""Chegeni, Ilam""",3,70,2280
"""Ministry of Emergency Situations (Azerbaijan)""",22,70,15087
"""Aloha Milkyway""",10,70,8512
"""Mumsnet""",79,70,31818
"""Caerau F.C.""",21,70,3758
"""John W. Rogers (horse trainer)""",31,70,6730
"""List of Cachaça brands""",9,70,6137
"""Gregory Guillot""",37,69,10182
"""John Fuhrer""",1,69,10423
"""Iryna Shepetyuk""",2,69,4730
"""AS Djerba""",4,69,1716
"""1954 FAMAS Awards""",3,68,4170
"""Provincial Highway 72 (Taiwan)""",7,68,3831
"""List of Austrian-school economists""",6,68,14801
"""Louder Than Live""",16,68,6149
"""Arthur season 11""",16,68,14141
"""Taekwondo at the 2008 Summer Olympics – Men's 68 kg""",4,67,7411
"""908""",14,67,7046
"""Henry Hawtrey""",4,67,3773
"""Ubon Ratchathani Main Line""",2,67,5133
"""Remaindered book""",50,67,3274
"""Frank Fenton (writer)""",7,67,13641
"""1915–16 Colgate men's basketball team""",2,67,8485
"""DEC 4000 AXP""",11,66,7658
